date,strategy_nav,csi300_nav,strategy_return,csi300_return,held_count,active_csi300_count,tradable_count
2019-05-28,1.3373031452002477,1.163304044929175,0.01083409072543792,0.009639257890460495,8,300,30
2019-05-29,1.341305175441831,1.160658899279154,0.00299261259942972,-0.002273821415433974,7,300,30
2019-05-30,1.331311793222192,1.1534584559374226,-0.007450491060952603,-0.006203754906978554,6,300,30
2019-05-31,1.3246833670138196,1.1498503662275261,-0.0049788683929026245,-0.0031280621259689445,7,300,30
2019-06-03,1.3216120491423133,1.1505535907726014,-0.0023185298071869897,0.0006115791808480875,6,300,30
2019-06-04,1.3207984345660313,1.1399287690096647,-0.0006156228499960559,-0.009234530097639526,6,300,30
2019-06-05,1.3276224505171812,1.1394978825325526,0.005166583918152445,-0.00037799421229312014,7,300,30
2019-06-06,1.2862965657482652,1.1292246730421536,-0.03112773872784193,-0.009015558210223817,6,300,30
2019-06-10,1.3085811732231638,1.143815654517672,0.01732462642620447,0.012921238637312316,4,300,30
2019-06-11,1.3816121577184732,1.178199133535913,0.05580928870879809,0.030060332609051166,6,300,30
2019-06-12,1.3562215200271721,1.1692721752144004,-0.01837754361776171,-0.007576782283587047,8,300,30
2019-06-13,1.3540874989316725,1.167463416958712,-0.001573504817603058,-0.001546909516902506,9,300,30
2019-06-14,1.3390921165154501,1.1577983475039686,-0.011074160590104501,-0.008278691489898016,10,300,30
2019-06-17,1.3344771536978395,1.1577793454474412,-0.0034463370821863903,-1.6412233242779628e-05,10,300,30
2019-06-18,1.3471921018716644,1.1618342061660782,0.009528037357995855,0.0035022741894483733,9,300,30
2019-06-19,1.3623319740925373,1.1771410307398347,0.011238094552246114,0.013174706418971116,12,300,30
2019-06-20,1.4186909587569454,1.2128043279558998,0.04136949417336357,0.03029653736022664,12,300,30
2019-06-21,1.430642687225491,1.2145212676806343,0.008424476377165044,0.0014156774387739102,14,300,30
2019-06-24,1.4305484295346962,1.2168433041429085,-6.588485834822601e-05,0.0019118944427449769,14,300,30
2019-06-25,1.4296538522776723,1.2041846685172888,-0.0006253386733049981,-0.010402847747546184,15,300,30
2019-06-26,1.4015176415942754,1.201973526869279,-0.019680435679287907,-0.0018362147483013125,13,300,30
2019-06-27,1.4307743076233308,1.214800063478745,0.0208749894833824,0.010671230541054122,13,300,30
2019-06-28,1.428780939307937,1.2118761220306131,-0.001393209470405614,-0.002406932248388949,13,300,30
2019-07-01,1.4605478610390177,1.2467918813119674,0.022233584489493436,0.028811327037989276,15,300,30
2019-07-02,1.4563595067027415,1.2472226935622963,-0.002867659765217567,0.0003455366182489872,13,300,30
2019-07-03,1.4348363883353978,1.233398252078016,-0.014778712445852741,-0.011084180520156472,12,300,30
2019-07-04,1.4297304782847073,1.2269264188412516,-0.0035585311971451095,-0.005247156160518851,13,300,30
2019-07-05,1.4404514263571897,1.233293740767116,0.0074985797920071534,0.005189652637749731,12,300,30
2019-07-08,1.4109956866998152,1.2046535591074556,-0.020448964205524233,-0.023222514404270034,11,300,30
2019-07-09,1.4047409478539494,1.2015934115119506,-0.004432854688943086,-0.0025402719083587044,11,300,30
2019-07-10,1.4069327896450676,1.1995691729043143,0.001560317433948688,-0.0016846285842140318,12,300,30
2019-07-11,1.412285682539736,1.199087663760985,0.0038046543047866033,-0.0004014017317263141,10,300,30
2019-07-12,1.4166390342731654,1.206535208064354,0.0030824866294761775,0.006211009026654057,12,300,30
2019-07-15,1.4290405291610662,1.2114326912271216,0.008754167143406091,0.00405912992014934,11,300,30
2019-07-16,1.4243959348526276,1.2059364948301787,-0.003250148763216054,-0.004536939143829355,10,300,30
2019-07-17,1.4293185435624292,1.2052395795616848,0.0034559272385952357,-0.0005779037880365712,11,300,30
2019-07-18,1.4158373311548433,1.1937594425746718,-0.009431915977235673,-0.009525190826530916,11,300,30
2019-07-19,1.4325350717208616,1.2062912988543986,0.011793544497374292,0.010497807039497209,10,300,30
2019-07-22,1.4360956604531057,1.1979662455187434,0.0024855159238557634,-0.006901362335582917,10,300,30
2019-07-23,1.4287447551533068,1.20057338705571,-0.005118673847589972,0.002176306341451051,13,300,30
2019-07-24,1.4337521171121048,1.2100514792432966,0.003504728147373408,0.007894637920327963,11,300,30
2019-07-25,1.459806424122663,1.2199477651280493,0.018172114063229564,0.008178400716423395,16,300,30
2019-07-26,1.4642685385406864,1.2223236160082231,0.003056648021469717,0.0019475021374579793,15,300,30
2019-07-29,1.4605149240860094,1.2209614803077087,-0.002563474086807793,-0.0011143822165220474,16,300,30
2019-07-30,1.4563820280362072,1.2260457922840664,-0.0028297526999860115,0.004164187043047773,13,300,30
2019-07-31,1.4463168218744313,1.2149710819874904,-0.006911102971620547,-0.009032868402039318,9,300,30
2019-08-01,1.4399067994817687,1.20486896523262,-0.004431962828417574,-0.008314697283448802,12,300,30
2019-08-02,1.4169512400160476,1.1871197083540612,-0.015942392572896313,-0.014731275674556121,10,300,30
2019-08-05,1.3896865764650312,1.164390576583261,-0.01924177966117426,-0.019146453058482282,9,300,30
2019-08-06,1.386319614675706,1.1519221099764805,-0.0024228209772954156,-0.010708147985332706,9,300,30
2019-08-07,1.3701513257928501,1.147202028825823,-0.011662742640078704,-0.004097569713940041,10,300,30
2019-08-08,1.3872191414467498,1.1623632204507257,0.012456883654090733,0.013215799173943665,11,300,30
2019-08-09,1.3675286124368429,1.1510350999159307,-0.014194245466777076,-0.009745766500081077,10,300,30
2019-08-12,1.40554483725292,1.1718064260501568,0.027799217120828647,0.018045779955575103,11,300,30
2019-08-13,1.3980174872684472,1.1612418022084843,-0.005355467705452053,-0.009015673243304434,11,300,30
2019-08-14,1.4033027381417091,1.1665162089768981,0.0037805327339562877,0.004542040045736329,14,300,30
2019-08-15,1.4273045073960517,1.1701908801114234,0.017103771411524662,0.0031501243671085977,14,300,30
2019-08-16,1.427708960095744,1.175430474518465,0.0002833681933998974,0.004477555325454796,13,300,30
2019-08-19,1.462036687751774,1.2009471931364573,0.024043925348572477,0.021708403151998956,12,300,30
2019-08-20,1.4718580249489983,1.1998827810637975,0.006717572328726412,-0.0008863104712205638,12,300,30
2019-08-21,1.4636183254445447,1.1979916310786354,-0.005598161891150533,-0.001576112279472408,12,300,30
2019-08-22,1.4614236115715555,1.2017138073544789,-0.0014995124308262626,0.003107013587809515,13,300,30
2019-08-23,1.4692879297426122,1.2103777801827256,0.0053812721436734805,0.007209680687051412,12,300,30
2019-08-26,1.4414674951939372,1.1929706345484405,-0.01893463764692363,-0.014381580626552148,13,300,30
2019-08-27,1.4580475598627836,1.2091391578496382,0.011502211963937166,0.013553161186836471,10,300,30
2019-08-28,1.4593074759917144,1.2045869776828269,0.0008641118188555286,-0.0037648108054882945,11,300,30
2019-08-29,1.4592511137673647,1.2006620880617649,-3.862258316157284e-05,-0.0032582866109112096,9,300,30
2019-08-30,1.4656893457386353,1.2036398439277964,0.004412011003814892,0.0024800948540304457,9,300,30
2019-09-02,1.491780971077219,1.2190765653723445,0.017801606741867163,0.012825033603219627,9,300,30
2019-09-03,1.4907728887173446,1.2207523834591254,-0.0006757576208700704,0.0013746618829220125,9,300,30
2019-09-04,1.4905112674688055,1.2310129001695784,-0.00017549369895253353,0.008405076123119137,9,300,30
2019-09-05,1.5150659162301248,1.2434687482231963,0.016473977283659205,0.010118373293977578,13,300,30
2019-09-06,1.5183267252773691,1.250814972967348,0.0021522555634793704,0.00590784831114477,14,300,30
2019-09-09,1.5367563332391942,1.2585571233736725,0.012138104174158202,0.006189684784439153,16,300,30
2019-09-10,1.5337950434598098,1.2542234668569248,-0.0019269741827857775,-0.0034433530558637404,20,300,30
2019-09-11,1.5147799874905263,1.2449829746027123,-0.012397390414296106,-0.00736750068739267,18,300,30
2019-09-12,1.5357476433046195,1.258376455383097,0.013842047021514679,0.010757963003195758,18,300,30
2019-09-16,1.5227094666345289,1.253732530912115,-0.008489791097471697,-0.0036904095361257605,13,300,30
2019-09-17,1.4944535189147894,1.2326665244481498,-0.018556361760980196,-0.016802632096208914,13,300,30
2019-09-18,1.5009160461762543,1.2386410382367399,0.0043243414262611295,0.0048468208311771566,15,300,30
2019-09-19,1.516958739454972,1.2431710245953416,0.0106886013508805,0.003657222890862899,15,300,30
2019-09-20,1.5345181911978167,1.2467411101921835,0.011575431345715955,0.00287175740602863,15,300,30
2019-09-23,1.543503411040348,1.23248912243604,0.005855401320148294,-0.01143139312535113,16,300,30
2019-09-24,1.543558997341549,1.235789987489818,3.6013073119046946e-05,0.0026782102930480445,15,300,30
2019-09-25,1.5059461260427385,1.2262548891326497,-0.024367627906410286,-0.007715791885105294,16,300,30
2019-09-26,1.4652754280381846,1.2168021082781717,-0.027006741676361745,-0.00770865905469631,15,300,30
2019-09-27,1.503237130151987,1.220448276327906,0.025907553888778575,0.002996516873967181,15,300,30
2019-09-30,1.4619093635904605,1.2083725436316166,-0.02749251314551267,-0.009894505920908903,15,300,30
2019-10-08,1.4450938877017123,1.215706075595822,-0.01150240658384547,0.006068932965131335,13,300,30
2019-10-09,1.442789097547239,1.2174673287101923,-0.0015949068597465204,0.001448749125899651,16,300,30
2019-10-10,1.4751114014422337,1.2274143114879457,0.02240265327062909,0.008170225634137829,13,300,30
2019-10-11,1.4850143627334143,1.239163743244806,0.006713365025514801,0.009572506729709662,12,300,30
2019-10-14,1.5070823751741205,1.2523133148152354,0.014860470709580445,0.010611649704983073,15,300,30
2019-10-15,1.490080374058805,1.2469311307574562,-0.011281401332393177,-0.004297793526672922,14,300,30
2019-10-16,1.4788842003242002,1.2426356268073293,-0.007513805248040081,-0.003444860621546586,15,300,30
2019-10-17,1.4914484520164704,1.2434371276135066,0.008495764367160005,0.000645000665429496,14,300,30
2019-10-18,1.455005899674564,1.2257479944294283,-0.024434335824771614,-0.01422599727099072,15,300,30
2019-10-21,1.457973303998255,1.2293783521743178,0.0020394448739723624,0.002961748876105119,13,300,30
2019-10-22,1.4754640845753006,1.2341427467146113,0.011996639807519117,0.0038754501670434927,14,300,30
2019-10-23,1.4559668838525661,1.2262865097423394,-0.013214283510226363,-0.00636574415170843,17,300,30
2019-10-24,1.4741297333757228,1.2261566870983311,0.012474768296306907,-0.00010586648632016082,14,300,30
2019-10-25,1.5011637934734374,1.2344309693142024,0.018338996552092608,0.006748144264867362,13,300,30
2019-10-28,1.5199006384439935,1.2438710573887344,0.01248154601917371,0.007647319541712827,13,300,30
2019-10-29,1.5148410782627175,1.238688543378058,-0.003328875620748325,-0.004166439905399999,13,300,30
2019-10-30,1.514795411774331,1.2326697161998321,-3.0146058911316122e-05,-0.004859031925662061,13,300,30
2019-10-31,1.487479390429117,1.2312505001029526,-0.01803281230778078,-0.00115133525082034,15,300,30
2019-11-01,1.5181845130284846,1.2520440200453882,0.020642385230298585,0.016888131164776832,14,300,30
2019-11-04,1.5340639864876997,1.2601948631206157,0.01045951485010131,0.006510029156109098,14,300,30
2019-11-05,1.549168700066427,1.2680161392779485,0.009846208314498093,0.0062064021892336285,13,300,30
2019-11-06,1.5389994306627146,1.2623363058190977,-0.006564339573395852,-0.0044793069133056695,12,300,30
2019-11-07,1.5457990241394188,1.2645506392187897,0.004418191028034572,0.0017541548868431622,12,300,30
2019-11-08,1.5364997553419388,1.2585761254302,-0.006015833010799776,-0.004724614106621061,12,300,30
2019-11-11,1.5084894160951774,1.2363918924756756,-0.018229966616901943,-0.017626453025987088,12,300,30
2019-11-12,1.4934076249571446,1.2366167996291035,-0.009997942960099176,0.00018190604030698942,9,300,30
2019-11-13,1.5113373069632032,1.2354414927421793,0.012005886207105089,-0.0009504212519809707,9,300,30
2019-11-14,1.5242742026837268,1.2373042138693338,0.008559899673566691,0.0015077372243827991,9,300,30
2019-11-15,1.5108454490808225,1.228190426734231,-0.008809933002382876,-0.007365841830120234,9,300,30
2019-11-18,1.5151949187819653,1.2379599332730908,0.002878831652694289,0.007954390724927762,9,300,30
2019-11-19,1.5333487101329786,1.2503492741288633,0.011981159074640221,0.010007869013188397,11,300,30
2019-11-20,1.5117507073381025,1.2379377394648814,-0.014085512742240448,-0.009926454088302061,9,300,30
2019-11-21,1.5078160080680598,1.2321533204683472,-0.002602743462227935,-0.004672625134632846,10,300,30
2019-11-22,1.4594212706864533,1.2196056538837754,-0.03209591695714509,-0.010183526981692892,11,300,30
2019-11-25,1.4482758504050508,1.2285452307584508,-0.007636876688908425,0.007329891302330083,10,300,30
2019-11-26,1.456035049044203,1.232802730595523,0.005357541960657619,0.0034654807413510014,10,300,30
2019-11-27,1.4773467449068827,1.2277247278957464,0.014636801412623779,-0.0041190715868414385,11,300,30
2019-11-28,1.4703564919504142,1.2235052321717288,-0.004731626465193165,-0.0034368418491086405,12,300,30
2019-11-29,1.4577285206765431,1.212851833097218,-0.008588373869196947,-0.008707277087488197,10,300,30
2019-12-02,1.4589090955908028,1.2151928716160194,0.0008098729616072165,0.0019301933302300345,11,300,30
2019-12-03,1.4708029100421174,1.2199540744046307,0.008152539789669445,0.003918063461217924,12,300,30
2019-12-04,1.4875736998076903,1.2195517652390926,0.011402472521007345,-0.0003297740250872705,12,300,30
2019-12-05,1.510019261663391,1.228909461584151,0.015088705762008603,0.007673062031297917,12,300,30
2019-12-06,1.5272748437871317,1.236204989435302,0.011427392061696295,0.005936586932731913,10,300,30
2019-12-09,1.5176097294204725,1.234006540567238,-0.006328339922559723,-0.0017783853704297359,13,300,30
2019-12-10,1.5451529124498145,1.235568272088072,0.01814905538320449,0.0012655779928980593,10,300,30
2019-12-11,1.5181710253687777,1.2363190017744654,-0.017462276298762847,0.0006075987085072398,10,300,30
2019-12-12,1.5271921534902744,1.2326031347752033,0.005942102681946193,-0.003005589167463074,12,300,30
2019-12-13,1.5464671547388265,1.2570586330722184,0.012621202384061956,0.019840529045445976,11,300,30
2019-12-16,1.5911259774782853,1.2631820457881273,0.02887796394680049,0.0048712228330538565,12,300,30
2019-12-17,1.6166484601698385,1.2803674760206665,0.01604051662333041,0.013604872147954472,12,300,30
2019-12-18,1.6026316053213563,1.27751004177038,-0.008670317136855796,-0.0022317297992974217,11,300,30
2019-12-19,1.5857761911778614,1.2757266690745834,-0.010517335417277719,-0.0013959754815900949,10,300,30
2019-12-20,1.5698888877251491,1.2725904390261862,-0.010018629073319397,-0.0024583871486141273,10,300,30
2019-12-23,1.5444023776426703,1.2567039775015652,-0.01623459486958343,-0.012483561904470752,11,300,30
2019-12-24,1.5751711367037515,1.264895942214746,0.019922760743250056,0.006518611271898234,10,300,30
2019-12-25,1.577892586095814,1.2642338393076245,0.0017277166452893233,-0.0005234445656947528,9,300,30
2019-12-26,1.5971419716398079,1.2753590980436345,0.01219942707990186,0.008800000751524761,10,300,30
2019-12-27,1.5763102462158172,1.274104665405702,-0.013043126906622137,-0.0009835917114299209,12,300,30
2019-12-30,1.5899749678775223,1.292984841554766,0.008668802156497782,0.014818387108764153,11,300,30
2019-12-31,1.5970435126027511,1.297720807237052,0.004445695604041188,0.00366281609039687,14,300,30
2020-01-02,1.6142365572673283,1.3153527857979816,0.010765545540181989,0.013586881294189501,18,300,30
2020-01-03,1.612182112816531,1.313046708094119,-0.001272703459445437,-0.0017532009121519199,17,300,30
2020-01-06,1.6261858356267995,1.308085835258405,0.008686191652259074,-0.0037781388926481085,18,300,30
2020-01-07,1.6253964578897515,1.3178839191088392,-0.000485416684707375,0.007490398249361485,16,300,30
2020-01-08,1.5987753032027934,1.3027069171790913,-0.01637825316878095,-0.011516190242317204,16,300,30
2020-01-09,1.6331325699684973,1.3191953579163533,0.02148974073897493,0.01265706086290419,14,300,30
2020-01-10,1.6377928230513799,1.318818434310707,0.002853566923212219,-0.00028572235596835416,15,300,30
2020-01-13,1.6697526196425305,1.3317462162526075,0.019513943486213513,0.009802548709942238,16,300,30
2020-01-14,1.6621056264620198,1.3272796937937354,-0.004579716234940155,-0.0033538840992094476,16,300,30
2020-01-15,1.6774788091991129,1.3199429700778476,0.009249221284339505,-0.00552763953987534,15,300,30
2020-01-16,1.6768930829343764,1.3143391448451058,-0.0003491705895325511,-0.004245505570904529,14,300,30
2020-01-17,1.687656121463062,1.3161796721640506,0.006418440530419226,0.001400344291778488,16,300,30
2020-01-20,1.7193863043282906,1.3259934920925465,0.01880133189557666,0.007456291975973084,19,300,30
2020-01-21,1.6930750641086196,1.3033372510229564,-0.01530269268368401,-0.017086238510745866,16,300,30
2020-01-22,1.7432373018035896,1.308918956674272,0.02962788759834436,0.004282625734002954,18,300,30
2020-01-23,1.6882546816673576,1.268361442273905,-0.03154052525112096,-0.0309855046361438,17,300,30
2020-02-03,1.5279722439426056,1.1684042414371612,-0.09493972649106096,-0.07880813583984514,6,300,30
2020-02-04,1.6195196830902512,1.199220752383459,0.05991433385689471,0.026374870831000097,5,300,30
2020-02-05,1.6591995174794245,1.212807519707582,0.024500989276931184,0.011329663281025804,6,300,30
2020-02-06,1.7012767122422383,1.2353781772960162,0.025359936716191727,0.018610255313948,8,300,30
2020-02-07,1.667139557901223,1.2354066803808073,-0.02006560960681318,2.3072355749054196e-05,7,300,30
2020-02-10,1.6783424612387257,1.2405195696687392,0.006719835351760303,0.004138628493052909,11,300,30
2020-02-11,1.6654659960455473,1.252066288080381,-0.007672132172402257,0.009307969574978259,9,300,30
2020-02-12,1.7284920560754309,1.2621937903951432,0.0378428981315329,0.008088631098190024,11,300,30
2020-02-13,1.7122027561789912,1.2544293719538255,-0.009423994654291184,-0.006151526414091224,12,300,30
2020-02-14,1.7228488349450533,1.2632390519577092,0.006217767567329696,0.007022858521051889,11,300,30
2020-02-17,1.7777016223913453,1.2916512831658258,0.03183842153397132,0.022491571301634927,9,300,30
2020-02-18,1.7996043614659025,1.2853440849344422,0.0123208185213298,-0.0048830503353232135,8,300,30
2020-02-19,1.745888098884361,1.28338004424807,-0.029848928871113595,-0.0015280271713953297,12,300,30
2020-02-20,1.8179123661815053,1.3129516978114826,0.041253656143923734,0.02304200824685454,12,300,30
2020-02-21,1.8244624080022886,1.31448166026906,0.003603056969430085,0.0011652846484206947,14,300,30
2020-02-24,1.8699977365343046,1.3092072535006465,0.02495821691490758,-0.0040125373581355595,11,300,30
2020-02-25,1.9432568652203352,1.3063594687321902,0.03917605206400039,-0.0021751978236002056,10,300,30
2020-02-26,1.8133365536097594,1.290257452628838,-0.0668569935019089,-0.01232586932521651,11,300,30
2020-02-27,1.7517888572687237,1.2940143670392703,-0.03394168402909792,0.002911755636658242,11,300,30
2020-02-28,1.666208329396225,1.2481349407291713,-0.0488532208190491,-0.03545511354334652,11,300,30
2020-03-02,1.7298275337564089,1.2891961580810773,0.03818202276256602,0.03289805934598533,13,300,30
2020-03-03,1.7385708994890448,1.2960671829584807,0.005054472519378372,0.005329696985469257,15,300,30
2020-03-04,1.7103799968397786,1.3035716592046482,-0.016214985916048197,0.005790190774707771,13,300,30
2020-03-05,1.7132703087481427,1.33261422425663,0.0016898653595718805,0.02227922404334981,17,300,30
2020-03-06,1.6780058515929173,1.3110033932031722,-0.020583125135106368,-0.016216869563667524,17,300,30
2020-03-09,1.6091409095449996,1.2662168820505237,-0.04103975083432797,-0.03416201009458997,15,300,30
2020-03-10,1.6700559012612828,1.293333410529188,0.03785559819836251,0.021415390098694198,14,300,30
2020-03-11,1.620974524396378,1.2761320957650206,-0.029389062263027708,-0.013299984848554436,14,300,30
2020-03-12,1.5827546808643973,1.2515752036820047,-0.02357831227866643,-0.019243221108935837,11,300,30
